Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
42.0000	0.3545	0.4439	0.5954	0.7844	0.8857	0.6550	0.5912	0.8091	0.6263	0.7932	0.5587	0.7836	0.6166	0.7869
43.0000	0.3556	0.4434	0.5964	0.7836	0.8852	0.6687	0.5937	0.8175	0.6185	0.7923	0.5587	0.7836	0.6166	0.7869
44.0000	0.3490	0.4399	0.5906	0.7878	0.8876	0.6570	0.5904	0.8104	0.6251	0.7919	0.5587	0.7836	0.6166	0.7869
45.0000	0.3429	0.4364	0.5856	0.7914	0.8896	0.6438	0.5853	0.8022	0.6327	0.7957	0.5587	0.7836	0.6166	0.7869
46.0000	0.3401	0.4318	0.5833	0.7930	0.8905	0.6534	0.5876	0.8080	0.6273	0.7947	0.5587	0.7836	0.6166	0.7869
47.0000	0.3381	0.4298	0.5815	0.7943	0.8913	0.6487	0.5856	0.8053	0.6298	0.7941	0.5587	0.7836	0.6166	0.7869
48.0000	0.3368	0.4307	0.5802	0.7953	0.8918	0.6505	0.5852	0.8064	0.6288	0.7940	0.5587	0.7836	0.6166	0.7869
49.0000	0.3314	0.4263	0.5757	0.7984	0.8935	0.6550	0.5877	0.8093	0.6261	0.7921	0.5587	0.7836	0.6166	0.7869
50.0000	0.3374	0.4310	0.5808	0.7948	0.8915	0.6453	0.5828	0.8032	0.6317	0.7952	0.5587	0.7836	0.6166	0.7869
51.0000	0.3296	0.4248	0.5742	0.7994	0.8941	0.6540	0.5889	0.8084	0.6269	0.7921	0.5587	0.7836	0.6166	0.7869
52.0000	0.3238	0.4193	0.5691	0.8030	0.8961	0.6554	0.5857	0.8096	0.6259	0.7917	0.5587	0.7836	0.6166	0.7869
53.0000	0.3227	0.4193	0.5678	0.8039	0.8966	0.6460	0.5805	0.8036	0.6313	0.7971	0.5587	0.7836	0.6166	0.7869
54.0000	0.3228	0.4190	0.5682	0.8036	0.8965	0.6860	0.5996	0.8280	0.6086	0.7859	0.5587	0.7836	0.6166	0.7869
55.0000	0.3200	0.4176	0.5652	0.8057	0.8976	0.6497	0.5811	0.8059	0.6293	0.7992	0.5587	0.7836	0.6166	0.7869
56.0000	0.3177	0.4147	0.5637	0.8067	0.8982	0.6458	0.5784	0.8035	0.6314	0.7969	0.5587	0.7836	0.6166	0.7869
57.0000	0.3104	0.4106	0.5571	0.8112	0.9007	0.6508	0.5807	0.8069	0.6283	0.7940	0.5587	0.7836	0.6166	0.7869
58.0000	0.3099	0.4095	0.5567	0.8115	0.9008	0.6530	0.5828	0.8081	0.6272	0.7955	0.5587	0.7836	0.6166	0.7869
59.0000	0.3063	0.4085	0.5533	0.8138	0.9021	0.6360	0.5763	0.7975	0.6370	0.7995	0.5587	0.7836	0.6166	0.7869
60.0000	0.3131	0.4110	0.5595	0.8096	0.8998	0.6675	0.5881	0.8169	0.6191	0.7940	0.5587	0.7836	0.6166	0.7869
61.0000	0.3079	0.4075	0.5547	0.8129	0.9016	0.6528	0.5833	0.8080	0.6273	0.7967	0.5587	0.7836	0.6166	0.7869
62.0000	0.3107	0.4103	0.5571	0.8112	0.9007	0.6497	0.5850	0.8060	0.6291	0.7940	0.5587	0.7836	0.6166	0.7869
63.0000	0.3052	0.4064	0.5523	0.8144	0.9025	0.6433	0.5786	0.8021	0.6327	0.7964	0.5587	0.7836	0.6166	0.7869
64.0000	0.3015	0.4034	0.5490	0.8167	0.9037	0.6389	0.5738	0.7992	0.6354	0.7997	0.5587	0.7836	0.6166	0.7869
65.0000	0.3052	0.4081	0.5525	0.8143	0.9024	0.6451	0.5789	0.8030	0.6319	0.7985	0.5587	0.7836	0.6166	0.7869
