Epoch	Loss_train	MAE_train_Kcat	RMSE_train_Kcat	R2_train_Kcat	PCC_train_Kcat	MAE_train_Km	RMSE_train_Km	R2_train_Km	PCC_train_Km	Loss_val	MAE_val_Kcat	RMSE_val_Kcat	R2_val_Kcat	PCC_val_Kcat	MAE_val_Km	RMSE_val_Km	R2_val_Km	PCC_val_Km	MAE_test_Kcat	RMSE_test_Kcat	R2_test_Kcat	PCC_test_Kcat	MAE_test_Km	RMSE_test_Km	R2_test_Km	PCC_test_Km
22.0000	1.0556	0.5650	0.7718	0.7291	0.8539	0.5093	0.6776	0.7193	0.8481	1.4611	0.6392	0.8717	0.6377	0.8012	0.6156	0.8384	0.5816	0.7758	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
23.0000	1.0127	0.5514	0.7556	0.7404	0.8605	0.5000	0.6640	0.7305	0.8547	1.4730	0.6644	0.8886	0.6235	0.7932	0.6267	0.8274	0.5925	0.7734	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
24.0000	1.0115	0.5576	0.7608	0.7368	0.8584	0.4962	0.6578	0.7355	0.8576	1.4495	0.6422	0.8703	0.6389	0.7996	0.6160	0.8341	0.5859	0.7832	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
25.0000	0.9848	0.5445	0.7462	0.7468	0.8642	0.4921	0.6539	0.7386	0.8594	1.5027	0.6657	0.9046	0.6099	0.7867	0.6185	0.8266	0.5933	0.7724	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
26.0000	0.9603	0.5378	0.7397	0.7512	0.8667	0.4814	0.6427	0.7475	0.8646	1.4992	0.6567	0.8968	0.6165	0.7948	0.6293	0.8355	0.5845	0.7725	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
27.0000	0.9590	0.5423	0.7388	0.7518	0.8671	0.4825	0.6424	0.7477	0.8647	1.4148	0.6479	0.8655	0.6428	0.8042	0.5969	0.8172	0.6025	0.7781	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
28.0000	0.9404	0.5370	0.7357	0.7539	0.8683	0.4737	0.6316	0.7561	0.8695	1.3808	0.6182	0.8575	0.6494	0.8076	0.5951	0.8044	0.6149	0.7854	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
29.0000	0.9134	0.5215	0.7174	0.7660	0.8752	0.4736	0.6316	0.7562	0.8696	1.3796	0.6178	0.8562	0.6505	0.8070	0.6012	0.8053	0.6140	0.7839	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
30.0000	0.9059	0.5251	0.7219	0.7631	0.8735	0.4646	0.6205	0.7646	0.8744	1.3883	0.6202	0.8559	0.6507	0.8096	0.5974	0.8108	0.6087	0.7857	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
31.0000	0.8954	0.5171	0.7124	0.7693	0.8771	0.4657	0.6230	0.7627	0.8733	1.5296	0.6392	0.8751	0.6349	0.7971	0.6411	0.8754	0.5439	0.7828	0.5706	0.8406	0.6767	0.8246	0.5524	0.7724	0.6572	0.8109
