Epoch	Loss_train	MAE_train	RMSE_train	R2_train	PCC_train	Loss_val	MAE_val	RMSE_val	R2_val	PCC_val	MAE_test	RMSE_test	R2_test	PCC_test
42.0000	0.5731	0.5531	0.7573	0.7477	0.8647	0.7896	0.6455	0.8885	0.6383	0.8009	0.6072	0.8849	0.6693	0.8190
43.0000	0.5755	0.5561	0.7581	0.7471	0.8644	0.8276	0.6544	0.9095	0.6210	0.7992	0.6072	0.8849	0.6693	0.8190
44.0000	0.5644	0.5485	0.7512	0.7517	0.8670	0.7833	0.6437	0.8849	0.6412	0.8008	0.6072	0.8849	0.6693	0.8190
45.0000	0.5629	0.5478	0.7485	0.7535	0.8681	0.7929	0.6512	0.8904	0.6368	0.8000	0.6072	0.8849	0.6693	0.8190
46.0000	0.5587	0.5452	0.7472	0.7544	0.8685	0.7998	0.6441	0.8944	0.6335	0.7979	0.6072	0.8849	0.6693	0.8190
47.0000	0.5576	0.5449	0.7466	0.7547	0.8687	0.7974	0.6422	0.8929	0.6347	0.7995	0.6072	0.8849	0.6693	0.8190
48.0000	0.5433	0.5383	0.7361	0.7616	0.8727	0.7728	0.6436	0.8791	0.6459	0.8055	0.6072	0.8849	0.6693	0.8190
49.0000	0.5401	0.5354	0.7352	0.7622	0.8730	0.7577	0.6247	0.8703	0.6530	0.8082	0.6072	0.8849	0.6693	0.8190
50.0000	0.5411	0.5358	0.7358	0.7618	0.8728	0.7777	0.6385	0.8818	0.6438	0.8039	0.6072	0.8849	0.6693	0.8190
51.0000	0.5272	0.5286	0.7261	0.7680	0.8764	0.7760	0.6329	0.8807	0.6446	0.8043	0.6072	0.8849	0.6693	0.8190
52.0000	0.5299	0.5309	0.7281	0.7667	0.8756	0.7784	0.6320	0.8821	0.6435	0.8025	0.6072	0.8849	0.6693	0.8190
53.0000	0.5251	0.5276	0.7251	0.7687	0.8767	0.7844	0.6380	0.8854	0.6409	0.8008	0.6072	0.8849	0.6693	0.8190
54.0000	0.5162	0.5242	0.7177	0.7734	0.8794	0.7873	0.6385	0.8871	0.6394	0.8009	0.6072	0.8849	0.6693	0.8190
55.0000	0.5173	0.5232	0.7196	0.7722	0.8787	0.8157	0.6439	0.9031	0.6263	0.7972	0.6072	0.8849	0.6693	0.8190
56.0000	0.5116	0.5184	0.7130	0.7763	0.8811	0.7604	0.6281	0.8719	0.6517	0.8082	0.6072	0.8849	0.6693	0.8190
57.0000	0.5109	0.5173	0.7145	0.7754	0.8806	0.7983	0.6331	0.8933	0.6344	0.8017	0.6072	0.8849	0.6693	0.8190
58.0000	0.4926	0.5080	0.7020	0.7832	0.8850	0.7502	0.6200	0.8660	0.6564	0.8111	0.6072	0.8849	0.6693	0.8190
59.0000	0.4970	0.5125	0.7048	0.7814	0.8840	0.7755	0.6365	0.8806	0.6447	0.8038	0.6072	0.8849	0.6693	0.8190
60.0000	0.4927	0.5080	0.7007	0.7840	0.8854	0.7907	0.6446	0.8893	0.6376	0.8021	0.6072	0.8849	0.6693	0.8190
61.0000	0.4923	0.5079	0.7018	0.7833	0.8850	0.7860	0.6437	0.8867	0.6398	0.8009	0.6072	0.8849	0.6693	0.8190
62.0000	0.4747	0.4980	0.6892	0.7910	0.8894	0.7816	0.6282	0.8841	0.6419	0.8031	0.6072	0.8849	0.6693	0.8190
63.0000	0.4804	0.5018	0.6933	0.7885	0.8880	0.7573	0.6290	0.8702	0.6531	0.8096	0.6072	0.8849	0.6693	0.8190
64.0000	0.4678	0.4960	0.6844	0.7939	0.8910	0.7696	0.6318	0.8770	0.6476	0.8049	0.6072	0.8849	0.6693	0.8190
65.0000	0.4672	0.4961	0.6833	0.7945	0.8914	0.7709	0.6165	0.8774	0.6473	0.8089	0.6072	0.8849	0.6693	0.8190
